"Microrregião IBGE";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Total"
"13001 RIO NEGRO";17;6;13;13;3;4;7;7;3;5;3;5;10;11;11;9;17;13;22;82;261
"13002 JAPURA";3;-;3;-;-;-;-;-;-;-;-;2;-;1;1;1;2;-;2;8;23
"13003 ALTO SOLIMOES";20;9;28;13;3;5;12;14;7;8;9;10;16;20;13;20;18;25;35;119;404
"13004 JURUA";10;2;18;8;1;2;3;3;6;4;7;7;13;11;9;13;10;16;17;71;231
"13005 TEFE";6;2;7;4;2;2;-;1;3;5;6;4;7;10;5;8;12;13;12;47;156
"13006 COARI";9;3;4;5;1;3;3;4;5;7;8;9;11;12;11;15;12;16;24;59;221
"13007 MANAUS";121;33;70;46;21;23;60;84;86;122;148;213;257;290;354;469;503;630;574;1650;5754
"13008 RIO PRETO DA EVA";1;-;2;-;2;1;1;-;1;2;4;7;5;3;3;6;8;8;6;27;87
"13009 ITACOATIARA";6;3;4;2;1;2;5;5;8;7;9;9;12;7;10;20;21;20;17;87;255
"13010 PARINTINS";22;1;6;-;7;3;11;8;5;7;9;9;10;10;16;21;34;31;49;140;399
"13011 BOCA DO ACRE";4;1;2;-;-;-;1;3;3;7;1;2;4;3;3;7;11;10;13;25;100
"13012 PURUS";2;-;4;3;2;2;1;1;2;1;5;3;3;5;5;6;20;8;14;42;129
"13013 MADEIRA";10;1;5;6;-;3;2;4;4;4;6;5;7;16;13;19;21;17;24;99;266
"Total";231;61;166;100;43;50;106;134;133;179;215;285;355;399;454;614;689;807;809;2456;8286
