"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6224;6010;5729;5201;4548;4060;3500;3130;2645;2214;1812;1508;1229;994;771;539;585;50699
"13002 JAPURA";1653;1492;1413;1359;1211;1048;794;696;591;464;343;275;207;143;78;58;71;11896
"13003 ALTO SOLIMOES";17003;16814;15945;14570;12922;11357;9671;8474;6962;5431;4293;3434;2685;1975;1456;1084;1365;135441
"13004 JURUA";7834;7950;7694;7666;7019;6232;5202;4668;4125;3236;2415;1960;1523;1131;800;576;732;70763
"13005 TEFE";6075;5664;5603;5778;5368;4677;3906;3475;3079;2411;1816;1432;1125;852;597;437;503;52798
"13006 COARI";8257;8358;8411;8461;7533;6632;5722;5311;4845;3926;2897;2330;1843;1438;1006;650;820;78440
"13007 MANAUS";93534;102983;102754;104125;112000;115286;105524;105359;102539;87236;69496;56391;45892;34560;23774;14999;16119;1292571
"13008 RIO PRETO DA EVA";2506;2703;2839;2633;2343;2204;2047;2002;1952;1734;1449;1287;1052;740;493;279;248;28511
"13009 ITACOATIARA";8281;8807;9113;8967;8356;7805;6865;6477;5901;5001;3924;3180;2653;2026;1397;913;1095;90761
"13010 PARINTINS";13666;13828;13806;13591;12412;11169;9780;9017;8010;6472;5141;4327;3689;2972;2147;1456;1877;133360
"13011 BOCA DO ACRE";2643;2679;2744;2857;2686;2427;2113;1869;1684;1410;1116;914;721;537;396;295;344;27435
"13012 PURUS";4148;4042;4092;4088;3954;3652;3117;2926;2590;2004;1539;1350;1059;789;532;372;404;40658
"13013 MADEIRA";9858;9804;9251;9200;9064;8640;7824;6853;5992;4752;3730;3003;2479;1891;1301;920;1108;95670
"Total";181682;191134;189394;188496;189416;185189;166065;160257;150915;126291;99971;81391;66157;50048;34748;22578;25271;2109003
