"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6518;6336;5995;5430;4817;4401;3759;3429;2944;2527;2046;1663;1354;1014;743;479;531;53986
"13002 JAPURA";1717;1626;1497;1479;1407;1162;914;852;692;522;433;345;283;197;133;67;68;13394
"13003 ALTO SOLIMOES";17723;17581;16549;15099;13576;11456;9852;8724;7407;5976;4696;3728;2936;2156;1500;1070;1254;141283
"13004 JURUA";8232;8412;8163;8188;7591;6535;5493;5122;4474;3372;2574;2159;1621;1191;797;591;604;75119
"13005 TEFE";6592;6009;6065;6236;5609;4726;4082;3826;3309;2640;1997;1515;1192;929;653;455;509;56344
"13006 COARI";8771;8818;9120;9085;8216;6915;6039;5789;5261;4328;3288;2608;2188;1675;1058;740;734;84633
"13007 MANAUS";100524;109339;107860;107081;113503;110512;100671;100265;94490;77500;62090;50456;39193;27551;17447;10393;9258;1238133
"13008 RIO PRETO DA EVA";2718;2830;2900;2741;2459;2252;1995;2055;2042;1812;1581;1440;1210;903;576;333;241;30088
"13009 ITACOATIARA";8907;9488;9675;9628;8892;7736;6842;6760;6380;5355;4137;3452;2951;2280;1407;939;912;95741
"13010 PARINTINS";14918;15043;14783;14757;13452;11738;10246;9842;8870;7234;5668;4790;4116;3218;2159;1431;1699;143964
"13011 BOCA DO ACRE";2860;3033;3048;3102;3007;2552;2262;2112;1985;1566;1247;1031;822;655;420;266;323;30291
"13012 PURUS";4610;4391;4419;4577;4347;3833;3538;3307;2920;2256;1877;1541;1239;865;578;377;371;45046
"13013 MADEIRA";10312;10065;9960;10143;9820;8877;8042;7400;6570;5251;4286;3506;2894;2254;1561;1042;1041;103024
"Total";194402;202971;200034;197546;196696;182695;163735;159483;147344;120339;95920;78234;61999;44888;29032;18183;17545;2111046
