"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6066;5955;5769;5259;4523;4101;3556;3142;2706;2278;1864;1542;1270;1023;796;560;609;51019
"13002 JAPURA";1593;1481;1405;1350;1197;1060;816;689;601;481;355;283;218;152;87;58;72;11898
"13003 ALTO SOLIMOES";16765;16615;16075;14814;12935;11563;9877;8582;7187;5664;4448;3543;2789;2065;1516;1115;1415;136968
"13004 JURUA";7622;7810;7644;7603;6954;6333;5340;4707;4221;3385;2517;2018;1587;1184;840;593;756;71114
"13005 TEFE";5979;5684;5567;5771;5369;4802;4019;3515;3157;2533;1905;1485;1169;886;628;451;525;53445
"13006 COARI";7927;8175;8343;8398;7457;6660;5770;5288;4917;4088;3029;2392;1912;1492;1058;684;839;78429
"13007 MANAUS";91346;101424;103316;104908;109991;116123;107274;104586;103751;90726;72427;58240;47602;36422;25365;15938;16960;1306399
"13008 RIO PRETO DA EVA";2410;2629;2813;2650;2317;2204;2049;1980;1961;1783;1502;1323;1097;787;528;302;265;28600
"13009 ITACOATIARA";8124;8640;9068;9012;8301;7923;7048;6538;6074;5232;4118;3288;2734;2120;1480;960;1128;91788
"13010 PARINTINS";13350;13614;13651;13507;12257;11330;9997;9090;8210;6758;5330;4421;3776;3082;2259;1520;1934;134086
"13011 BOCA DO ACRE";2584;2640;2708;2836;2672;2475;2166;1892;1719;1466;1164;942;752;561;412;302;359;27650
"13012 PURUS";4096;4026;4060;4096;3916;3721;3203;2941;2676;2120;1609;1380;1104;829;565;382;423;41147
"13013 MADEIRA";9635;9763;9321;9176;8920;8756;7971;6975;6158;4994;3883;3097;2553;1979;1376;953;1152;96662
"Total";177497;188456;189740;189380;186809;187051;169086;159925;153338;131508;104151;83954;68563;52582;36910;23818;26437;2129205
